"id","source","profileId","sessionId","heuristic","dataProcessingConsent","attentionCheckFailures","dataUsableForResearch","createdAt"
"77392625-9933-4210-a69c-28caa4e0e952","PROLIFIC","639f922f942d2078e0e1a60b","63a26b608549bb9b4a4842a2","BIAS_GAUGE",True,0,True,"2022-12-21 02:11:49.431"
"0d2149b3-1fe5-4c08-97e7-869d11db6a9f","PROLIFIC","5e0a61f36e8aab2e005fd6d6","63a26e18721660b21728a44b","BIAS_HIGH",True,0,True,"2022-12-21 02:23:27.445"
"45ae24c4-a1fa-4d22-835e-bf6dcc636d22","PROLIFIC","6091c2e02bbc549874e0227b","63a270c480e4a1e72c223ee7","TRUST",True,0,False,"2022-12-21 02:34:50.071"
"5cbee138-58c1-4dfc-bfd2-fe4cc3f70e18","PROLIFIC","5d36d88240502d00015c1f1d","63a2796546cf260dba7b3e95","BIAS_GAUGE",True,0,True,"2022-12-21 03:11:40.218"
"282e6896-92cc-4052-8876-62741544b956","PROLIFIC","60fe0193128d5101aada7200","63a27383301be8ae20b59881","CONTROL",True,0,True,"2022-12-21 02:46:33.581"
"b195d194-edac-4bdb-997f-adbf9bb32dac","PROLIFIC","60fcb4182a40c0e763771eca","63a275e89fba02c64b31310f","BIAS_GAUGE",True,0,True,"2022-12-21 02:56:49.886"
"3b6f92c1-18a0-46b0-bc6b-74bde90f1192","PROLIFIC","559cc7e3fdf99b66d8b28f88","63a26e34fb41bcda85b9bc3d","CONTROL",True,0,True,"2022-12-21 02:23:54.573"
"414dc63c-ba77-446f-acba-6a742afb23e3","PROLIFIC","5ff8809f2fb33a080538e448","63a26eb3e672e7e8fe48424e","POLITICAL",True,0,True,"2022-12-21 02:26:06.944"
"7c3fa997-4365-4d49-8258-6f84cd1a9208","PROLIFIC","63784631952ef82ab4ee4db2","63a271a23b219ab046b532a7","BIAS_HIGH",True,0,True,"2022-12-21 02:38:46.542"
"4295497c-0fc9-47fd-b52e-28e3def0248e","PROLIFIC","61343cb691cd62da0334971b","63a279e08fb617c7611e282e","SENTIMENT",True,0,True,"2022-12-21 03:14:07.258"
"a7c66bb0-35dd-4292-8815-ba941f37cd52","PROLIFIC","58578946c41fd90001434680","63a27a820430ec12eaa3dd55","BIAS_GAUGE",True,0,True,"2022-12-21 03:16:31.619"
"13af56c8-4af6-4d6d-adda-749f59618924","PROLIFIC","610df498456dbaeef682c7ca","63a272bb12979364684241d4","BIAS_GAUGE",True,0,False,"2022-12-21 02:43:15.309"
"7224e8b1-a5c6-4e13-909f-cc7709eb98ba","PROLIFIC","637d58ad7d24e73e018afbf7","63a273db4ffd4549b0eebe44","POLITICAL",True,0,True,"2022-12-21 02:48:03.77"
"5d13704e-5ce8-46fe-b147-d247318917ec","PROLIFIC","61047c3dca663c4fc6d590e1","63a272db2db7d07a55f54cd1","SENTIMENT",True,0,False,"2022-12-21 02:44:07.434"
"759d0f84-7e7d-4b5a-a49a-8aabe0394e68","PROLIFIC","610b3d95b2f4d152baa7a423","63a26a44323de0f9801b5fd5","BIAS_BAR",True,0,True,"2022-12-21 02:07:06.274"
"903418ce-0b6c-4c29-a972-446ac5092e34","PROLIFIC","60aee0858e96f753f593b729","63a26ee76d060570704c9dda","SENTIMENT",True,0,True,"2022-12-21 02:27:41.622"
"14f9f009-ec0a-4ec4-b3ca-09472babadf6","PROLIFIC","5e00f9a211999fcea4169800","63a271790616e49d9ae24873","POLITICAL",True,0,True,"2022-12-21 02:37:54.518"
"8865d20c-f91f-4c05-9dcd-b346838fce97","PROLIFIC","63a216f1e6efbb6dd4614853","63a276d429deff7b1cb53266","TRUST",True,0,True,"2022-12-21 03:00:52.946"
"cf348187-e603-4c95-acb1-f24e85a51951","PROLIFIC","616593d0a07059888066996f","63a26ea5519eac45bfd9163d",NULL,True,0,False,"2022-12-21 02:25:53.266"
"6400fd5e-1ad7-450c-9f2c-001c39c75224","PROLIFIC","5e02e86e67f170e232425286","63a27a794220e351dc7bfb5a","TRUST",True,0,True,"2022-12-21 03:16:22.03"
"ec388958-27ee-4539-9630-c18175db3550","PROLIFIC","5a6032228e625900017657f4","63a27a12a60a26c6229062d2","POLITICAL",True,0,True,"2022-12-21 03:14:30.439"
"1b3d9d61-bff1-48c6-9cd7-4e681ee357f3","PROLIFIC","5a9c91196219a30001f534a5","63a271adac0c00444f92ab43","TRUST",True,0,True,"2022-12-21 02:38:41.469"
"b436a666-e38e-4937-ac9a-d311670edfbb","PROLIFIC","60a5a2e1f7b39a743bfcd43a","63a271d390ab0d58c960406c","BIAS_BAR",True,0,True,"2022-12-21 02:39:24.73"
"cc359664-e6a3-4838-8322-c0691d7b1af6","PROLIFIC","5e7fefe06c12706d47e35211","63a27945e2d729899a593ee3","CONTROL",True,0,True,"2022-12-21 03:12:38.516"
"d88c849a-c501-4ca5-9cef-67316b9c8e09","PROLIFIC","62cb3dc1aece812831e4c77a","63a27b8032e54c45e94d09dc","BIAS_GAUGE",True,0,True,"2022-12-21 03:20:45.111"
"48f658cb-bc2c-4188-937e-8ae6b4ab5a77","PROLIFIC","5c3161130cfe9a00012f71ff","63a27957ecd1883350d9c310","SENTIMENT",True,0,True,"2022-12-21 03:11:24.57"
"abd5c6b9-1394-4223-887f-d2771278aa3b","PROLIFIC","60fd7cca95936026b622beee","63a2796495d5dc8959223ecc","TRUST",True,0,True,"2022-12-21 03:11:39.926"
"0b617a9a-c91c-492c-a836-38922020d9a8","PROLIFIC","5dc0ac2c441a2105cbb3bb0f","63a279d8e92e7d9e7fc84929","BIAS_HIGH",True,0,True,"2022-12-21 03:16:02.797"
"e0e62207-38f5-4ca1-9a22-b17e10ec7c21","PROLIFIC","63636efc209a7701cd2f9a64","63a2793795d5dc8959223ec8","BIAS_BAR",True,0,True,"2022-12-21 03:11:06.36"
"95950c24-e5bd-46a3-91fc-e455953b26c7","PROLIFIC","614f7ad0514948b4efe25e13","63a27aed73d8094df861af7a","TRUST",True,0,True,"2022-12-21 03:18:10.502"
"19aca261-0243-4468-ad0b-f6ddc0f031ca","PROLIFIC","6300fa4d8504a0077a77a5b0","63a279e5383ef50c8b852404","BIAS_HIGH",True,0,True,"2022-12-21 03:13:47.696"
"730bda5a-a7e8-40ee-886f-0b9875af69c5","PROLIFIC","5b3b934edd6af000014d3152","63a27b1e0fa043345a1e285a","SENTIMENT",True,0,True,"2022-12-21 03:18:59.171"
"955c4e03-f180-4166-bb81-c4a4706417a0","PROLIFIC","60fefa8d26f46e84a295b223","63a27a15e28a7e440b4d0a24","TRUST",True,0,True,"2022-12-21 03:14:35.614"
"b0ef303d-eb70-4f0b-897f-dda8beadfbbe","PROLIFIC","56e60e39f7957b000b18e37b","63a27c19c05eb4d5201e2813","BIAS_BAR",True,0,True,"2022-12-21 03:23:10.208"
"6d7a5390-0b87-4fa6-83f4-21e9ccac66ea","PROLIFIC","610848a5c2d830d776b3779c","63a2794918681e109a7b3ecf","BIAS_GAUGE",True,0,True,"2022-12-21 03:11:08.738"
"c86e2a63-740b-490d-b10b-b38a1644cb36","PROLIFIC","5d4225e01985380018375d83","63a2791982763ff9f4424171","BIAS_BAR",True,0,True,"2022-12-21 03:10:21.307"
"bd678133-293e-4231-a5c5-84d0880bf70c","PROLIFIC","6346170e427b71964bf13a1b","63a27b4a0b3a21fbf7b85723","BIAS_HIGH",True,0,True,"2022-12-21 03:19:43.215"
"1793f174-04db-43a0-9ac0-7654d38e6e54","PROLIFIC","5f107aa051372032695c8e2f","63a27a760b765bf41a7b3ed0","CONTROL",True,0,True,"2022-12-21 03:16:10.628"
"16ea57cd-ed2d-46dd-8b50-f226757b53ad","PROLIFIC","62b33f729b02ed15713cb73b","63a2795c782bc9b34a852443","POLITICAL",True,0,True,"2022-12-21 03:11:28.961"
"99c644e6-27d3-404a-b045-d62d062b3273","PROLIFIC","5c7fb1bd8a5a670018bc7f50","63a27630cd5db365e061af49","BIAS_HIGH",True,0,True,"2022-12-21 02:58:01.571"
"2527b6ee-ea1a-4df4-b225-5af78d74b817","PROLIFIC","6152cd6a983042dbc5b17c47","63a279697b74baf90200e7ef","BIAS_HIGH",True,0,True,"2022-12-21 03:11:41.639"
"5d05f0e4-f482-492b-a6ed-6e94f17cbad3","PROLIFIC","5d4b14caed2dfc0001a22c1a","63a2770f396c791116d91662","SENTIMENT",True,0,True,"2022-12-21 03:01:40.765"
"9aca74d9-d80a-489d-b6cf-4d788fb42900","PROLIFIC","610729d5507a50dd1db1246f","63a27b7c0b3a21fbf7b85726","CONTROL",True,0,True,"2022-12-21 03:21:05.177"
"dbb9b194-91b1-4473-90d4-ef40daf67234","PROLIFIC","5c552224f979a40001c44e4d","63a27b6d58dff8d7b0de325c","CONTROL",True,0,True,"2022-12-21 03:20:45.55"
"d3f498a9-078f-4d55-9f87-1b3d706076b3","PROLIFIC","62b4805510134a754ba41a0e","63a27a275ba8b040fad9165e","BIAS_BAR",True,0,True,"2022-12-21 03:15:39.776"
"264c1da9-66c7-4a0d-825c-a0e3474e4912","PROLIFIC","5dd6e8e3e426bd67d5b1c7e0","63a27b8dcb0a55643492ab6a","BIAS_HIGH",True,0,True,"2022-12-21 03:20:52.615"
"3828db8f-7ceb-4e9e-b2d1-f15916151a73","PROLIFIC","589a84282a697d0001cfcfc1","63a279582357832cbe28a40f","CONTROL",True,0,True,"2022-12-21 03:11:25.598"
"60a89aeb-e603-45b4-836e-0683a5e36b20","PROLIFIC","60fd8cf1b99f6ccb0e5fc85a","63a27ac1b96b73c596e1a63f","POLITICAL",True,0,True,"2022-12-21 03:17:27.287"
"5478b0ce-142f-4668-a5ff-806f17a32592","PROLIFIC","613fa887602268be775e5b26","63a27c2ad0aa5dbc6a0d5f2f","POLITICAL",True,0,False,"2022-12-21 03:23:26.642"
"c2064b2b-c9a7-435b-806f-f628da467a75","PROLIFIC","5eb1f99ae5aa1f35d6d054a6","63a27c06795661e773438f1e","POLITICAL",True,0,False,"2022-12-21 03:22:54.417"
