news_source;rating;rating_num;type;url
FStv;left;1;News Media;https://mediabiasfactcheck.com/fstv-freespeech-org/
Mint Press News;far-left;1;News Media;https://mediabiasfactcheck.com/mint-press-news/
Corriere Della Sera;center;3;News Media;https://mediabiasfactcheck.com/corriere-della-sera/
CounterPunch;left;1;News Media;https://mediabiasfactcheck.com/counterpunch/
Deutsche Welle;left-center;2;News Media;https://mediabiasfactcheck.com/dw-news/
TimCast;right;5;News Media;https://mediabiasfactcheck.com/timcast-tim-pool/
KTLA;center;3;News Media;https://mediabiasfactcheck.com/ktla/
NHK;right-center;4;News Media;https://mediabiasfactcheck.com/nhk-nippon-hoso-kyokai/
Sky News;center;3;News Media;https://mediabiasfactcheck.com/sky-news/
The Liberty Daily;right;5;News Media;https://mediabiasfactcheck.com/the-liberty-daily/
The Young Turks;left;1;News Media;https://mediabiasfactcheck.com/the-young-turks/
