"participantId","heuristic","dataProcessingConsent","attentionCheckFailures","dataUsableForResearch","gender","age","educationLevel","englishLevel","politicalSpectrum","newsConsumption","newsOutlets","musk1","musk2","musk3","musk4","perception1","perception2","perception3","perception4","attentioncheck","perception5","perception6","perception7","perception8","perception9","detection1","detection2","detection3","detection4","detection5","detection6","annotation1","annotation2","annotation3","annotation4","annotation5","annotation6","duration","bias_perception1","bias_perception2","bias_perception3","bias_perception4","bias_perception5","bias_perception6","bias_perception7","bias_perception8","bias_perception9","bias_detection1","bias_detection2","bias_detection3","bias_detection4","bias_detection5","bias_detection6","sent_perception1","sent_perception2","sent_perception3","sent_perception4","sent_perception5","sent_perception6","sent_perception7","sent_perception8","sent_perception9","sent_detection1","sent_detection2","sent_detection3","sent_detection4","sent_detection5","sent_detection6","bel_perception1","bel_perception2","bel_perception3","bel_perception4","bel_perception5","bel_perception6","bel_perception7","bel_perception8","bel_perception9","bel_detection1","bel_detection2","bel_detection3","bel_detection4","bel_detection5","bel_detection6","truth_perception1","truth_perception2","truth_perception3","truth_perception4","truth_perception5","truth_perception6","truth_perception7","truth_perception8","truth_perception9","truth_detection1","truth_detection2","truth_detection3","truth_detection4","truth_detection5","truth_detection6","cred_perception1","cred_perception2","cred_perception3","cred_perception4","cred_perception5","cred_perception6","cred_perception7","cred_perception8","cred_perception9","cred_detection1","cred_detection2","cred_detection3","cred_detection4","cred_detection5","cred_detection6","share_perception1","share_perception2","share_perception3","share_perception4","share_perception5","share_perception6","share_perception7","share_perception8","share_perception9","share_detection1","share_detection2","share_detection3","share_detection4","share_detection5","share_detection6"
"77392625-9933-4210-a69c-28caa4e0e952","BIAS_GAUGE","True",0,"True","Female",49,"Bachelor’s degree","Advanced",0,"Never or very rarely","{""CBS News""}",0,0,0,0,"{""Strongly agree"",""Very emotional"",""Moderately believable"",""Moderately truthful"",""Moderately credible"",""Somewhat likely""}","{""Somewhat disagree"",""Moderately emotional"",""Very believable"",""Very truthful"",""Very credible"",Likely}","{Agree,Emotional,""Very believable"",""Very truthful"",""Very credible"",Likely}","{Disagree,""Not at all emotional"",""Extremely believable"",""Very truthful"",""Very credible"",Likely}","{""Strongly agree"",""Extremely emotional"",""Extremely believable"",""Extremely truthful"",""Extremely credible"",""Very likely""}","{""Somewhat disagree"",""Moderately emotional"",Believable,Truthful,Credible,""Somewhat likely""}","{Agree,Emotional,Believable,Truthful,Credible,""Somewhat likely""}","{""Somewhat disagree"",""Low emotionality"",""Very believable"",""Very truthful"",""Very credible"",""Somewhat likely""}","{Disagree,""Not at all emotional"",""Very believable"",""Very truthful"",""Very credible"",Likely}","{Agree,""Very emotional"",Believable,Truthful,Credible,""Neither unlikely nor likely""}","{Disagree,""Low emotionality"",""Very believable"",""Very truthful"",""Very credible"",Likely}","{Agree,""Very emotional"",Believable,""Moderately truthful"",""Moderately credible"",""Somewhat likely""}","{Disagree,""Low emotionality"",Believable,Truthful,Credible,""Somewhat likely""}","{""Somewhat disagree"",""Slightly emotional"",Believable,Truthful,Credible,""Neither unlikely nor likely""}","{Disagree,""Low emotionality"",""Very believable"",""Very truthful"",""Very credible"",Likely}","{Disagree,""Not at all emotional"",""Very believable"",""Very truthful"",""Very credible"",Likely}","{}","{11,12,13,14,15,16}","{}","{}","{}","{}",18.4728500008583,3,-1,2,-2,-1,2,-1,-2,2,-2,2,-2,-1,-2,-2,6,4,5,1,4,5,2,1,6,2,6,2,3,2,1,4,6,6,7,5,5,6,6,5,6,5,5,5,6,6,4,6,6,6,5,5,6,6,5,6,4,5,5,6,6,4,6,6,6,5,5,6,6,5,6,4,5,5,6,6,1,2,2,2,1,1,1,2,0,2,1,1,0,2,2
"0d2149b3-1fe5-4c08-97e7-869d11db6a9f","BIAS_HIGH","True",0,"True","Male",56,"Doctoral degree","Intermediate",0,"Several times per day","{CNN,""Time magazine"",Reuters,BuzzFeed}",5,5,5,5,"{""Somewhat agree"",""Low emotionality"",""Slightly believable"",""Slightly truthful"",""Slightly credible"",""Very unlikely""}","{Agree,""Moderately emotional"",Believable,Truthful,Credible,""Very unlikely""}","{Agree,""Moderately emotional"",Believable,Truthful,Credible,""Very unlikely""}","{Agree,""Slightly emotional"",""Moderately believable"",""Moderately truthful"",""Slightly credible"",""Very unlikely""}","{""Strongly agree"",""Extremely emotional"",""Extremely believable"",""Extremely truthful"",""Extremely credible"",""Very likely""}","{""Somewhat disagree"",""Not at all emotional"",""Low believability"",""Low truthfulness"",""Low credibility"",""Very unlikely""}","{Agree,Emotional,Believable,""Moderately truthful"",""Moderately credible"",""Very unlikely""}","{""Strongly disagree"",""Not at all emotional"",""Not at all believable"",""Low truthfulness"",""Slightly credible"",""Very unlikely""}","{Agree,Emotional,Believable,Truthful,Credible,""Very unlikely""}","{""Somewhat agree"",Emotional,Believable,""Moderately truthful"",""Moderately credible"",""Neither unlikely nor likely""}","{Agree,Emotional,Believable,Truthful,Credible,""Neither unlikely nor likely""}","{Agree,""Very emotional"",""Very believable"",""Very truthful"",Credible,""Neither unlikely nor likely""}","{Agree,""Very emotional"",""Very believable"",Truthful,""Very credible"",""Neither unlikely nor likely""}","{Agree,""Very emotional"",""Very believable"",""Very truthful"",""Very credible"",""Somewhat likely""}","{""Somewhat agree"",Emotional,Believable,Truthful,Credible,""Somewhat likely""}","{""Somewhat agree"",Emotional,Believable,Truthful,Credible,""Somewhat likely""}","{}","{}","{}","{}","{}","{}",12.1294000029564,1,2,2,2,-1,2,-3,2,1,2,2,2,2,1,1,2,4,4,3,1,5,1,5,5,5,6,6,6,5,5,3,5,5,4,2,5,1,5,5,5,6,6,6,5,5,3,5,5,4,2,4,2,5,4,5,6,5,6,5,5,3,5,5,3,2,4,3,5,4,5,5,6,6,5,5,-3,-3,-3,-3,-3,-3,-3,-3,0,0,0,0,1,1,1
"5cbee138-58c1-4dfc-bfd2-fe4cc3f70e18","BIAS_GAUGE","True",0,"True","Female",41,"Graduate work","Advanced",-10,"Once per day","{}",4,-3,-5,-2,"{""Strongly disagree"",""Slightly emotional"",""Very believable"",Truthful,Credible,""Neither unlikely nor likely""}","{Agree,""Moderately emotional"",""Moderately believable"",""Moderately truthful"",""Slightly credible"",""Very unlikely""}","{Agree,""Slightly emotional"",""Moderately believable"",""Moderately truthful"",""Moderately credible"",""Very unlikely""}","{Agree,""Slightly emotional"",Believable,Truthful,Credible,Unlikely}","{""Strongly agree"",""Extremely emotional"",""Extremely believable"",""Extremely truthful"",""Extremely credible"",""Very likely""}","{Disagree,""Moderately emotional"",Believable,Truthful,Credible,""Neither unlikely nor likely""}","{""Strongly agree"",Emotional,""Low believability"",""Low truthfulness"",""Low credibility"",""Very unlikely""}","{""Somewhat agree"",""Slightly emotional"",""Slightly believable"",""Moderately truthful"",""Slightly credible"",""Very unlikely""}","{""Strongly disagree"",""Not at all emotional"",""Very believable"",""Very truthful"",""Very credible"",""Neither unlikely nor likely""}","{""Strongly agree"",""Moderately emotional"",""Moderately believable"",""Moderately truthful"",""Moderately credible"",""Very unlikely""}","{""Somewhat agree"",""Moderately emotional"",Believable,Truthful,Credible,""Neither unlikely nor likely""}","{Disagree,""Moderately emotional"",""Very believable"",""Very truthful"",""Very credible"",""Somewhat likely""}","{Agree,""Very emotional"",""Very believable"",""Very truthful"",""Very credible"",""Somewhat likely""}","{Agree,Emotional,""Slightly believable"",""Low truthfulness"",""Low credibility"",""Very unlikely""}","{Agree,""Very emotional"",Believable,Truthful,Credible,Unlikely}","{Agree,Emotional,""Very believable"",Truthful,Credible,Unlikely}","{8,11,23,24,27,34,40,41}","{}","{20,22,24,27,28,45}","{11,13,22,23,24,25,33}","{32,33,35,36}","{29,59}",25.870766667525,-3,2,2,2,-2,3,1,-3,3,1,-2,2,2,2,2,3,4,3,3,4,5,3,1,4,4,4,6,5,6,5,6,4,4,5,5,2,3,6,4,5,6,6,3,5,6,5,4,4,5,5,2,4,6,4,5,6,6,2,5,5,5,3,4,5,5,2,3,6,4,5,6,6,2,5,5,0,-3,-3,-2,0,-3,-3,0,-3,0,1,1,-3,-2,-2
"282e6896-92cc-4052-8876-62741544b956","CONTROL","True",0,"True","Female",19,"High school graduate","Advanced",-8,"Several times per week","{""New York Times"",CNN,MSNBC,""The Guardian"",""Business Insider"",""Time magazine""}",-2,-3,-5,-4,"{Agree,""Slightly emotional"",""Very believable"",""Low truthfulness"",Credible,Unlikely}","{""Somewhat agree"",""Moderately emotional"",""Low believability"",""Low truthfulness"",""Slightly credible"",Unlikely}","{""Somewhat agree"",""Low emotionality"",Believable,Truthful,Credible,Unlikely}","{""Somewhat agree"",""Slightly emotional"",Believable,Truthful,Credible,Unlikely}","{""Strongly agree"",""Extremely emotional"",""Extremely believable"",""Extremely truthful"",""Extremely credible"",""Very likely""}","{""Somewhat disagree"",""Slightly emotional"",Believable,Truthful,Credible,Unlikely}","{""Strongly agree"",""Very emotional"",""Low believability"",""Low truthfulness"",""Not at all credible"",Unlikely}","{""Strongly disagree"",""Low emotionality"",""Very believable"",""Very truthful"",""Very credible"",Unlikely}","{""Somewhat agree"",""Low emotionality"",""Slightly believable"",""Slightly truthful"",""Slightly credible"",Unlikely}","{Agree,""Moderately emotional"",Believable,""Slightly truthful"",""Slightly credible"",Unlikely}","{Disagree,""Low emotionality"",Believable,Truthful,Credible,Unlikely}","{""Somewhat agree"",Emotional,Believable,Truthful,Credible,Unlikely}","{Agree,""Very emotional"",""Moderately believable"",Truthful,""Moderately credible"",Unlikely}","{Agree,""Slightly emotional"",""Slightly believable"",""Slightly truthful"",""Slightly credible"",Unlikely}","{""Somewhat agree"",Emotional,Believable,Truthful,""Moderately credible"",Unlikely}","{Disagree,""Low emotionality"",Believable,Truthful,Credible,Unlikely}","{}","{15,16,23,24}","{5,6,7,27,28}","{17,18,22}","{3,4,5,44}","{}",16.8228166659673,2,1,1,1,-1,3,-3,1,2,-2,1,2,2,1,-2,3,4,2,3,3,6,2,2,4,2,5,6,3,5,2,6,2,5,5,5,2,6,3,5,5,5,4,3,5,5,2,2,5,5,5,2,6,3,3,5,5,5,3,5,5,5,3,5,5,5,1,6,3,3,5,5,4,3,4,5,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
"b195d194-edac-4bdb-997f-adbf9bb32dac","BIAS_GAUGE","True",0,"True","Female",21,"Associate degree","Advanced",-7,"Several times per week","{""New York Times"",""USA Today"",""ABC News""}",3,-4,-5,-5,"{Agree,""Very emotional"",""Low believability"",""Slightly truthful"",""Slightly credible"",""Very unlikely""}","{Agree,""Moderately emotional"",""Moderately believable"",""Moderately truthful"",""Slightly credible"",""Very unlikely""}","{""Somewhat agree"",""Slightly emotional"",""Moderately believable"",""Moderately truthful"",""Low credibility"",""Very unlikely""}","{Disagree,""Low emotionality"",Believable,Truthful,Credible,""Somewhat likely""}","{""Strongly agree"",""Extremely emotional"",""Extremely believable"",""Extremely truthful"",""Extremely credible"",""Very likely""}","{Agree,""Very emotional"",""Moderately believable"",""Slightly truthful"",""Slightly credible"",Unlikely}","{""Strongly agree"",""Extremely emotional"",""Slightly believable"",""Low truthfulness"",""Not at all credible"",""Very unlikely""}","{""Somewhat agree"",""Moderately emotional"",""Low believability"",""Low truthfulness"",""Low credibility"",""Very unlikely""}","{""Somewhat agree"",""Moderately emotional"",""Slightly believable"",""Slightly truthful"",""Slightly credible"",""Very unlikely""}","{""Strongly agree"",""Extremely emotional"",""Slightly believable"",""Slightly truthful"",""Low credibility"",""Very unlikely""}","{Agree,""Moderately emotional"",""Slightly believable"",""Slightly truthful"",""Low credibility"",""Very unlikely""}","{""Somewhat disagree"",""Low emotionality"",Believable,""Moderately truthful"",""Moderately credible"",Likely}","{Agree,Emotional,Believable,Truthful,""Moderately credible"",Likely}","{Agree,Emotional,Believable,Truthful,""Moderately credible"",""Very unlikely""}","{""Strongly agree"",""Extremely emotional"",Believable,Truthful,""Moderately credible"",""Somewhat likely""}","{Agree,Emotional,Believable,Truthful,Credible,Likely}","{8,27,28,40}","{23,24,27,28}","{7,22,24,25}","{11,22}","{1,32,33}","{29,30,31,59,60}",20.3487499992053,2,2,1,-2,2,3,1,1,3,2,-1,2,2,3,2,6,4,3,2,6,7,4,4,7,4,2,5,5,7,5,2,4,4,5,4,3,2,3,3,3,5,5,5,5,5,3,4,4,5,3,2,2,3,3,3,4,5,5,5,5,3,3,2,5,3,1,2,3,2,2,4,4,4,4,5,-3,-3,-3,1,-2,-3,-3,-3,-3,-3,2,2,-3,1,2
"3b6f92c1-18a0-46b0-bc6b-74bde90f1192","CONTROL","True",0,"True","Male",55,"Graduate work","Advanced",-7,"Several times per week","{""ABC News"",BBC}",-2,-5,-5,-5,"{""Strongly agree"",""Very emotional"",""Moderately believable"",""Moderately truthful"",""Moderately credible"",""Very unlikely""}","{Agree,""Moderately emotional"",""Very believable"",""Very truthful"",""Very credible"",""Very unlikely""}","{""Strongly disagree"",""Low emotionality"",""Extremely believable"",""Extremely truthful"",""Extremely credible"",Unlikely}","{Agree,Emotional,""Very believable"",""Very truthful"",""Very credible"",Unlikely}","{""Strongly agree"",""Extremely emotional"",""Extremely believable"",""Extremely truthful"",""Extremely credible"",""Very likely""}","{Agree,""Moderately emotional"",""Moderately believable"",""Moderately truthful"",""Moderately credible"",""Very unlikely""}","{""Strongly agree"",""Very emotional"",""Slightly believable"",""Slightly truthful"",""Slightly credible"",""Very unlikely""}","{Disagree,""Low emotionality"",""Very believable"",""Very truthful"",""Very credible"",""Very unlikely""}","{""Strongly disagree"",""Not at all emotional"",""Extremely believable"",""Extremely truthful"",""Extremely credible"",""Neither unlikely nor likely""}","{""Strongly agree"",Emotional,""Moderately believable"",""Moderately truthful"",""Moderately credible"",""Very unlikely""}","{Disagree,""Slightly emotional"",""Very believable"",""Very truthful"",""Very credible"",""Very unlikely""}","{""Somewhat disagree"",Emotional,""Very believable"",""Very truthful"",""Very credible"",Unlikely}","{Agree,Emotional,""Very believable"",""Very truthful"",""Very credible"",Unlikely}","{""Strongly agree"",""Very emotional"",""Low believability"",""Low truthfulness"",""Low credibility"",""Very unlikely""}","{""Strongly agree"",""Extremely emotional"",""Moderately believable"",""Moderately truthful"",""Moderately credible"",""Very unlikely""}","{""Somewhat agree"",""Moderately emotional"",""Very believable"",""Very truthful"",""Very credible"",""Very unlikely""}","{}","{16}","{16,24,25,26,27,28}","{0,1,2,3,10,11,22,33,39}","{0,1,32,38}","{29,59}",18.6484333356222,3,2,-3,2,2,3,-2,-3,3,-2,-1,2,3,3,1,6,4,2,5,4,6,2,1,5,3,5,5,6,7,4,4,6,7,6,4,3,6,7,4,6,6,6,2,4,6,4,6,7,6,4,3,6,7,4,6,6,6,2,4,6,4,6,7,6,4,3,6,7,4,6,6,6,2,4,6,-3,-3,-2,-2,-3,-3,-3,0,-3,-3,-2,-2,-3,-3,-3
"414dc63c-ba77-446f-acba-6a742afb23e3","POLITICAL","True",0,"True","Female",22,"Some college","Advanced",-8,"Several times per day","{""New York Times"",""The Washington Post"",Vice}",3,-4,-4,-4,"{""Somewhat agree"",""Moderately emotional"",""Slightly believable"",""Low truthfulness"",""Slightly credible"",""Somewhat unlikely""}","{""Somewhat agree"",""Low emotionality"",Believable,Truthful,Credible,""Neither unlikely nor likely""}","{""Somewhat agree"",""Very emotional"",Believable,""Moderately truthful"",Credible,""Somewhat likely""}","{Agree,""Very emotional"",""Slightly believable"",""Moderately truthful"",""Slightly credible"",""Neither unlikely nor likely""}","{""Strongly agree"",""Extremely emotional"",""Extremely believable"",""Extremely truthful"",""Extremely credible"",""Very likely""}","{Disagree,""Low emotionality"",""Very believable"",Truthful,""Very credible"",""Somewhat likely""}","{""Strongly agree"",""Very emotional"",""Not at all believable"",""Low truthfulness"",""Low credibility"",Unlikely}","{Disagree,""Slightly emotional"",Believable,Truthful,Credible,Unlikely}","{""Strongly disagree"",""Not at all emotional"",Believable,Truthful,Credible,Unlikely}","{Agree,Emotional,Believable,""Moderately truthful"",""Moderately credible"",Likely}","{""Somewhat agree"",""Slightly emotional"",Believable,Truthful,Credible,""Neither unlikely nor likely""}","{""Somewhat agree"",Emotional,Believable,Truthful,Credible,Likely}","{""Strongly agree"",""Very emotional"",""Moderately believable"",Truthful,""Moderately credible"",""Somewhat likely""}","{Agree,""Very emotional"",""Low believability"",""Low truthfulness"",""Low credibility"",Unlikely}","{Agree,""Extremely emotional"",Believable,""Moderately truthful"",""Moderately credible"",""Somewhat likely""}","{""Somewhat disagree"",""Moderately emotional"",Believable,Truthful,Credible,""Somewhat likely""}","{36,37,40}","{0,1,16,30}","{7,16,22,28}","{11,22,33}","{0,1,11,13,32,38}","{6,7,29}",16.8002000013987,1,1,1,2,-2,3,-2,-3,2,1,1,3,2,2,-1,4,2,6,6,2,6,3,1,5,3,5,6,6,7,4,3,5,5,3,6,1,5,5,5,5,5,4,2,5,5,2,5,4,4,5,2,5,5,4,5,5,5,2,4,5,3,5,5,3,6,2,5,5,4,5,5,4,2,4,5,-1,0,1,0,1,-2,-2,-2,2,0,2,1,-2,1,1
"7c3fa997-4365-4d49-8258-6f84cd1a9208","BIAS_HIGH","True",0,"True","Female",53,"Graduate work","Advanced",10,"Several times per day","{""Fox News"",""New York Times"",CNN,""USA Today"",""ABC News"",""CBS News"",""The Wall Street Journal"",""The Washington Post"",""Time magazine""}",5,5,5,5,"{Agree,""Moderately emotional"",""Moderately believable"",""Moderately truthful"",""Moderately credible"",""Somewhat unlikely""}","{Agree,Emotional,""Moderately believable"",""Moderately truthful"",""Moderately credible"",""Somewhat unlikely""}","{""Somewhat agree"",""Moderately emotional"",""Moderately believable"",""Moderately truthful"",""Slightly credible"",""Somewhat unlikely""}","{Agree,""Very emotional"",""Low believability"",""Low truthfulness"",""Low credibility"",Unlikely}","{""Strongly agree"",""Extremely emotional"",""Extremely believable"",""Extremely truthful"",""Extremely credible"",""Very likely""}","{""Somewhat agree"",""Moderately emotional"",Believable,""Moderately truthful"",""Moderately credible"",""Neither unlikely nor likely""}","{Agree,Emotional,""Moderately believable"",""Slightly truthful"",""Slightly credible"",""Somewhat unlikely""}","{Agree,Emotional,""Moderately believable"",""Moderately truthful"",""Moderately credible"",""Somewhat unlikely""}","{Agree,""Slightly emotional"",""Moderately believable"",""Moderately truthful"",""Moderately credible"",Unlikely}","{Agree,Emotional,""Moderately believable"",""Moderately truthful"",""Moderately credible"",""Somewhat unlikely""}","{Agree,""Very emotional"",""Low believability"",""Low truthfulness"",""Low credibility"",Unlikely}","{Agree,Emotional,Believable,Truthful,Credible,""Neither unlikely nor likely""}","{Agree,""Moderately emotional"",Believable,Truthful,Credible,""Neither unlikely nor likely""}","{Agree,""Moderately emotional"",""Moderately believable"",""Moderately truthful"",""Moderately credible"",""Neither unlikely nor likely""}","{Agree,Emotional,""Moderately believable"",""Moderately truthful"",""Moderately credible"",""Neither unlikely nor likely""}","{Agree,""Very emotional"",Believable,""Moderately truthful"",""Moderately credible"",""Somewhat likely""}","{8,11,12,13,27,28,34,35,40,41}","{16,22,23,24,27,28}","{11,12,13,14,16,22,24,25}","{3,10,11,13,22,23,24,25}","{0,1,11,31,32,35}","{29,30,31,59}",25.6557833313942,2,2,1,2,1,2,2,2,2,2,2,2,2,2,2,4,5,4,6,4,5,5,3,5,6,5,4,4,5,6,4,4,4,2,5,4,4,4,4,2,5,5,4,4,5,4,4,4,2,4,3,4,4,4,2,5,5,4,4,4,4,4,3,2,4,3,4,4,4,2,5,5,4,4,4,-1,-1,-1,-2,0,-1,-1,-2,-1,-2,0,0,0,0,1
"4295497c-0fc9-47fd-b52e-28e3def0248e","SENTIMENT","True",0,"True","Female",25,"Doctoral degree","Advanced",-1,"Several times per week","{""New York Times"",CNN,""ABC News""}",-1,-3,-2,-2,"{""Strongly disagree"",""Not at all emotional"",""Extremely believable"",""Extremely truthful"",""Extremely credible"",""Somewhat unlikely""}","{Agree,""Very emotional"",""Moderately believable"",""Moderately truthful"",""Low credibility"",Unlikely}","{""Strongly disagree"",""Not at all emotional"",""Extremely believable"",""Extremely truthful"",Credible,""Somewhat unlikely""}","{Agree,""Moderately emotional"",""Moderately believable"",""Moderately truthful"",""Low credibility"",""Somewhat unlikely""}","{""Strongly agree"",""Extremely emotional"",""Extremely believable"",""Extremely truthful"",""Extremely credible"",""Very likely""}","{""Strongly disagree"",""Not at all emotional"",""Extremely believable"",""Very truthful"",Credible,""Somewhat unlikely""}","{""Strongly agree"",Emotional,""Moderately believable"",""Moderately truthful"",""Very credible"",""Very unlikely""}","{Agree,Emotional,Believable,Truthful,Credible,""Somewhat unlikely""}","{""Strongly disagree"",""Not at all emotional"",""Very believable"",""Very truthful"",""Very credible"",""Somewhat unlikely""}","{""Strongly agree"",""Very emotional"",""Moderately believable"",""Moderately truthful"",""Moderately credible"",Unlikely}","{Agree,Emotional,Believable,Truthful,Credible,""Somewhat unlikely""}","{""Somewhat agree"",Emotional,Believable,Truthful,""Slightly credible"",""Somewhat unlikely""}","{Agree,""Very emotional"",Believable,Truthful,Credible,""Somewhat unlikely""}","{""Somewhat agree"",""Moderately emotional"",""Moderately believable"",""Moderately truthful"",""Moderately credible"",Unlikely}","{Agree,""Very emotional"",""Very believable"",""Very truthful"",""Very credible"",""Somewhat unlikely""}","{""Somewhat agree"",Emotional,Believable,Truthful,Credible,""Somewhat unlikely""}","{5,8,11,12,13,16,17,27,28,35,40}","{16}","{5,6,7,16,22,24,25}","{11,22,23,24,25,33}","{0,11,12,13,15,18,31,32}","{29}",16.4034333348274,-3,2,-3,2,-3,3,2,-3,3,2,1,2,1,2,1,1,6,1,4,1,5,5,1,6,5,5,6,4,6,5,7,4,7,4,7,4,5,6,4,5,5,5,4,6,5,7,4,7,4,6,4,5,6,4,5,5,5,4,6,5,7,2,5,2,5,6,5,6,4,5,3,5,4,6,5,-1,-2,-1,-1,-1,-3,-1,-1,-2,-1,-1,-1,-2,-1,-1
"a7c66bb0-35dd-4292-8815-ba941f37cd52","BIAS_GAUGE","True",0,"True","Male",67,"Some college","Advanced",-7,"Several times per day","{Reuters,""ABC News"",""CBS News"",""USA Today"",""The Washington Post"",NPR}",4,-2,-4,-4,"{""Strongly agree"",""Very emotional"",""Low believability"",""Low truthfulness"",""Low credibility"",""Very unlikely""}","{Agree,""Moderately emotional"",""Moderately believable"",""Moderately truthful"",""Moderately credible"",""Very unlikely""}","{Disagree,""Low emotionality"",""Very believable"",Truthful,""Very credible"",""Neither unlikely nor likely""}","{Disagree,""Low emotionality"",Believable,Truthful,Credible,""Neither unlikely nor likely""}","{""Strongly agree"",""Extremely emotional"",""Extremely believable"",""Extremely truthful"",""Extremely credible"",""Very likely""}","{""Somewhat disagree"",""Moderately emotional"",""Very believable"",""Very truthful"",""Very credible"",""Neither unlikely nor likely""}","{""Strongly agree"",""Very emotional"",""Low believability"",""Low truthfulness"",""Low credibility"",""Very unlikely""}","{Disagree,""Low emotionality"",""Very believable"",""Very truthful"",""Very credible"",""Neither unlikely nor likely""}","{""Somewhat disagree"",""Slightly emotional"",""Moderately believable"",Truthful,Credible,""Neither unlikely nor likely""}","{""Strongly agree"",Emotional,Believable,Truthful,Credible,""Neither unlikely nor likely""}","{Agree,""Moderately emotional"",""Moderately believable"",""Moderately truthful"",""Slightly credible"",Unlikely}","{""Strongly agree"",Emotional,""Moderately believable"",""Moderately truthful"",""Moderately credible"",""Somewhat unlikely""}","{""Strongly agree"",""Very emotional"",Believable,Truthful,""Moderately credible"",""Somewhat likely""}","{""Strongly agree"",""Very emotional"",""Slightly believable"",""Moderately truthful"",""Slightly credible"",Unlikely}","{""Strongly agree"",""Extremely emotional"",""Moderately believable"",""Moderately truthful"",""Moderately credible"",""Somewhat unlikely""}","{""Somewhat agree"",""Moderately emotional"",Believable,""Very truthful"",""Very credible"",""Somewhat likely""}","{8,11,27,34,36,37,40,41}","{12,16,23,24,27,28}","{5,6,7,9,22,24,25}","{3,11,22,23,36,39}","{1,3,4,5,15,18,33,35}","{29,30,31,58,59,60}",30.2428000013034,3,2,-2,-2,-1,3,-2,-1,3,2,3,3,3,3,1,6,4,2,2,4,6,2,3,5,4,5,6,6,7,4,2,4,6,5,6,2,6,4,5,4,4,5,3,4,5,2,4,5,5,6,2,6,5,5,4,4,5,4,4,6,2,4,6,5,6,2,6,5,5,3,4,4,3,4,6,-3,-3,0,0,0,-3,0,0,0,-2,-1,1,-2,-1,1
