"participantId","ACC_1","Precision_1","Recall_1","F1_1","Annotations_1","TP_1","FP_1","FN_1","TN_1","ACC_2","Precision_2","Recall_2","F1_2","Annotations_2","TP_2","FP_2","FN_2","TN_2","ACC_3","Precision_3","Recall_3","F1_3","Annotations_3","TP_3","FP_3","FN_3","TN_3","ACC_4","Precision_4","Recall_4","F1_4","Annotations_4","TP_4","FP_4","FN_4","TN_4","ACC_5","Precision_5","Recall_5","F1_5","Annotations_5","TP_5","FP_5","FN_5","TN_5","ACC_6","Precision_6","Recall_6","F1_6","Annotations_6","TP_6","FP_6","FN_6","TN_6"
"77392625-9933-4210-a69c-28caa4e0e952",0.621,NA,0,NA,0,0,0,11,18,0.812,0.5,0.333,0.4,4,2,2,4,24,0.562,NA,0,NA,0,0,0,14,18,0.727,NA,0,NA,0,0,0,9,24,0.567,NA,0,NA,0,0,0,13,17,0.85,NA,0,NA,0,0,0,6,34
"5cbee138-58c1-4dfc-bfd2-fe4cc3f70e18",0.759,0.75,0.545,0.632,8,6,2,5,16,0.812,NA,0,NA,0,0,0,6,26,0.594,0.6,0.214,0.316,5,3,2,11,16,0.848,0.833,0.556,0.667,6,5,1,4,23,0.633,0.75,0.231,0.353,4,3,1,10,16,0.9,1,0.333,0.5,2,2,0,4,34
"282e6896-92cc-4052-8876-62741544b956",0.621,NA,0,NA,0,0,0,11,18,0.938,1,0.667,0.8,4,4,0,2,26,0.562,0.5,0.071,0.125,2,1,1,13,17,0.818,1,0.333,0.5,3,3,0,6,24,0.6,0.667,0.154,0.25,3,2,1,11,16,0.85,NA,0,NA,0,0,0,6,34
"b195d194-edac-4bdb-997f-adbf9bb32dac",0.69,0.75,0.273,0.4,4,3,1,8,17,0.938,1,0.667,0.8,4,4,0,2,26,0.688,1,0.286,0.444,4,4,0,10,18,0.788,1,0.222,0.364,2,2,0,7,24,0.667,1,0.231,0.375,3,3,0,10,17,0.925,0.8,0.667,0.727,5,4,1,2,33
"3b6f92c1-18a0-46b0-bc6b-74bde90f1192",0.621,NA,0,NA,0,0,0,11,18,0.844,1,0.167,0.286,1,1,0,5,26,0.625,0.75,0.214,0.333,4,3,1,11,17,0.818,0.714,0.556,0.625,7,5,2,4,22,0.7,1,0.308,0.471,4,4,0,9,17,0.9,1,0.333,0.5,2,2,0,4,34
"414dc63c-ba77-446f-acba-6a742afb23e3",0.724,1,0.273,0.429,3,3,0,8,18,0.75,0.25,0.167,0.2,4,1,3,5,23,0.625,0.75,0.214,0.333,4,3,1,11,17,0.818,1,0.333,0.5,3,3,0,6,24,0.767,1,0.462,0.632,6,6,0,7,17,0.825,0.333,0.167,0.222,3,1,2,5,32
"7c3fa997-4365-4d49-8258-6f84cd1a9208",0.897,0.9,0.818,0.857,10,9,1,2,17,0.969,1,0.833,0.909,5,5,0,1,26,0.781,1,0.5,0.667,7,7,0,7,18,0.818,0.714,0.556,0.625,7,5,2,4,22,0.7,0.833,0.385,0.526,6,5,1,8,16,0.95,1,0.667,0.8,4,4,0,2,34
"4295497c-0fc9-47fd-b52e-28e3def0248e",0.724,0.636,0.636,0.636,11,7,4,4,14,0.844,1,0.167,0.286,1,1,0,5,26,0.719,1,0.357,0.526,5,5,0,9,18,0.879,1,0.556,0.714,5,5,0,4,24,0.7,0.75,0.462,0.571,8,6,2,7,15,0.875,1,0.167,0.286,1,1,0,5,34
"a7c66bb0-35dd-4292-8815-ba941f37cd52",0.897,1,0.727,0.842,8,8,0,3,18,0.938,0.833,0.833,0.833,6,5,1,1,25,0.719,1,0.357,0.526,5,5,0,9,18,0.818,0.8,0.444,0.571,5,4,1,5,23,0.8,1,0.538,0.7,7,7,0,6,17,0.9,0.667,0.667,0.667,6,4,2,2,32
"759d0f84-7e7d-4b5a-a49a-8aabe0394e68",0.793,1,0.455,0.625,5,5,0,6,18,0.938,1,0.667,0.8,4,4,0,2,26,0.594,1,0.071,0.133,1,1,0,13,18,0.879,1,0.556,0.714,5,5,0,4,24,0.667,0.8,0.308,0.444,5,4,1,9,16,0.95,1,0.667,0.8,4,4,0,2,34
